date_value,stock_percent_change,buy,gains,power,win,cheap,bear,bearish,down,good,downside,long,bull,sad,expensive,sell,loss,great,trending,bullish,positive,negative,miracle,short,bad,upside,gain,value,excited,acquisition,happy
2016-05-14,1.122257278713245,3.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-19,-0.27574119157484461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-05-18,0.96199132276279065,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-17,0.17904425082308373,5.0,1.0,1.0,4.0,0.0,2.0,1.0,3.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
2016-05-04,-1.0998735962895305,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,-0.37540483335437597,23.0,0.0,0.0,6.0,0.0,2.0,1.0,21.0,18.0,0.0,6.0,3.0,0.0,3.0,7.0,7.0,9.0,2.0,3.0,4.0,0.0,0.0,19.0,6.0,0.0,1.0,6.0,0.0,1.0,3.0
2016-05-03,-1.2542553935691434,5.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0,5.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
2016-05-13,1.6473743486303096,7.0,1.0,0.0,1.0,0.0,4.0,5.0,9.0,9.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,7.0,9.0,1.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,-1.6392768108244156,25.0,4.0,0.0,12.0,0.0,0.0,3.0,17.0,6.0,0.0,20.0,3.0,2.0,0.0,15.0,0.0,12.0,2.0,5.0,0.0,3.0,0.0,12.0,10.0,0.0,3.0,3.0,6.0,0.0,3.0
2016-05-06,-0.28198412944939405,5.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-05-27,0,6.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,3.0,0.0,6.0,2.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
2016-05-16,0.54097273573284321,4.0,5.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2016-05-15,0.54097273573284321,2.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-28,0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-05-29,0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
